# region_name	body_part(bone)	slot
Assassin/Assassin_arm_lower_far	arm_lower_far	arm_lower_far
Assassin/Assassin_arm_lower_near	arm_lower_near	arm_lower_near
Assassin/Assassin_arm_upper_far	arm_upper_far	arm_upper_far
Assassin/Assassin_arm_upper_near	arm_upper_near	arm_upper_near
Assassin/Assassin_foot_far_1	foot_far	foot_far
Assassin/Assassin_foot_far_2_bent	foot_far	foot_far
Assassin/Assassin_foot_near_1	foot_near	foot_near
Assassin/Assassin_foot_near_2_bent	foot_near	foot_near
Assassin/Assassin_hand_far_1_fistBack	hand_far	hand_far
Assassin/Assassin_hand_far_2_fistPalm	hand_far	hand_far
Assassin/Assassin_hand_near_1_fistBack	hand_near	hand_near
Assassin/Assassin_hand_near_2_fistPalm	hand_near	hand_near
Assassin/Assassin_head_1	head	head
Assassin/Assassin_head_2_injured	head	head
Assassin/Assassin_leg_lower_far	leg_lower_far	leg_lower_far
Assassin/Assassin_leg_lower_near_1	leg_lower_near	leg_lower_near
Assassin/Assassin_leg_lower_near_2	leg_lower_near	leg_lower_near
Assassin/Assassin_leg_upper_far	leg_upper_far	leg_upper_far
Assassin/Assassin_leg_upper_near	leg_upper_near	leg_upper_near
Assassin/Assassin_neck	neck	neck
Assassin/Assassin_torso	torso	torso
Assassin/Assassin_waist	waist	waist
sword_1	hand_near	item_near
sword_2_swing	hand_near	item_near
sword_3_bigSwing	hand_near	item_near
